"ORIGEN","DESTINO","CONCESIÓN","OPERADOR","TIPO","OBSERVACIONES"
"Tamames","La Fuente De San Esteban","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Campazas","Benavente","VACL-062","Hermanos Vivas Santander, S.A.","Regular",NA
"León","Cembranos","VACL-062","Hermanos Vivas Santander, S.A.","Regular",NA
"León","Benavente","VACL-062","Hermanos Vivas Santander, S.A.","Regular","directo"
"León","Benavente","VACL-062","Hermanos Vivas Santander, S.A.","Regular",NA
"Ávila","Pedro Rodríguez","VACL-066","Navatour, S.L.","Regular",NA
"Béjar","Piedrahita","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Peñaranda De Bracamonte","Medina Del Campo","VACL-077","Autobuses Urbanos de Ponferrada, S.A. (AUPSA)","Regular",NA
"Estación De Matallana","La Robla","VACL-087","Empresa Reyero, S.L.","Regular",NA
"Pontedo","Estación De Matallana","VACL-088","Empresa Reyero, S.L.","Regular",NA
"Rozuelo","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"La Granja De San Vicente","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"Igüeña","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"Colinas Del Campo M. Moro","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"León","Cistierna","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"León","Cofiñal","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Valdelugueros","León","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"León","La Vecilla","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"La Robla","La Magdalena","VACL-101","Ricardo Morales García","Regular",NA
"Guardo","Riaño","VACL-103","Linecar, S.A.","Regular",NA
"Guardo","Poblado De Terminor","VACL-103","Linecar, S.A.","Regular",NA
"Guardo","Velilla","VACL-103","Linecar, S.A.","Regular",NA
"Poblado De Terminor","Velilla","VACL-103","Linecar, S.A.","Regular",NA
"Guaza De Campos","Palencia","VACL-104","Hijos de Cristóbal Pobes, S.L.","Regular",NA
"Meneses De Campos","Palencia","VACL-105","Hijos de Cristóbal Pobes, S.L.","Regular",NA
"Espinosa De Cerrato","Palencia","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Antigüedad","Palencia","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Baltanás","Palencia","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Espinosa De Cerrato","Baltanás","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Reinoso De Cerrato","Baltanás","VACL-106","Autocares Antolín, S.L.","Regular",NA
"Bembibre","Castropodame","VACL-108","Autos Pelines, S.A.","Regular",NA
"Bembibre","Turienzo Castañero","VACL-108","Autos Pelines, S.A.","Regular",NA
"Quintana","Noceda","VACL-108","Autos Pelines, S.A.","Regular",NA
"Quintana","Bembibre","VACL-108","Autos Pelines, S.A.","Regular",NA
"Noceda","Bembibre","VACL-108","Autos Pelines, S.A.","Regular",NA
"Ponferrada","San Román De Bembibre","VACL-108","Autos Pelines, S.A.","Regular",NA
"Toreno","Ponferrada","VACL-108","Autos Pelines, S.A.","Regular",NA
"Vega De Espinareda","Toreno","VACL-108","Autos Pelines, S.A.","Regular",NA
"Villaprovedo","Herrera De Pisuerga","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Cervera De Pisuerga","Palencia","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Congosto De Valdavia","Saldaña","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Sauquillo De Cabezas","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Cantalejo","Santo Tomé Del Puerto","VACL-124","Linecar, S.A.","Regular",NA
"Ayllón","Segovia","VACL-124","Linecar, S.A.","Regular",NA
"Ayllón","Segovia","VACL-124","Linecar, S.A.","Regular","por Gallegos y Fresno"
"Grado Del Pico","Segovia","VACL-124","Linecar, S.A.","Regular",NA
"Sepúlveda","Segovia","VACL-125","Linecar, S.A.","Regular","por Duratón"
"Aranda De Duero","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Valle De Tabladillo","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Segovia","Muñopedro","VACL-125","Linecar, S.A.","Regular",NA
"Segovia","Labajos","VACL-125","Linecar, S.A.","Regular",NA
"Muñopedro","Labajos","VACL-125","Linecar, S.A.","Regular",NA
"Boceguillas","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Languilla","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Cantalejo","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Campo De Cuéllar","Segovia","VACL-126","Linecar, S.A.","Regular",NA
"Segovia – Cuéllar","Valladolid","VACL-126","Linecar, S.A.","Regular",NA
"Segovia","Navalmanzano","VACL-126","Linecar, S.A.","Regular",NA
"Escarabajosa De Cabezas","Segovia","VACL-128","Autocares Garrido, S.L.","Regular",NA
"Carbajales De Alba","Vegalatrave","VACL-130","López Ratón, S.L.","Regular",NA
"Bermillo De Alba","Alcañices","VACL-130","López Ratón, S.L.","Regular",NA
"Pobladura De Aliste","Alcañices","VACL-130","López Ratón, S.L.","Regular",NA
"Mellanes","Gallegos Del Río","VACL-130","López Ratón, S.L.","Regular",NA
"Riomanzanas","Zamora","VACL-130","López Ratón, S.L.","Regular",NA
"Riomanzanas","Alcañices","VACL-130","López Ratón, S.L.","Regular",NA
"Villaflor","Zamora","VACL-130","López Ratón, S.L.","Regular",NA
"Pobladura De Aliste","Zamora","VACL-130","López Ratón, S.L.","Regular",NA
"Alija Del Infantado","Benavente","VACL-133","Autocares Julio Fernández, S.L.","Regular",NA
"Alcubilla De Nogales","Benavente","VACL-133","Autocares Julio Fernández, S.L.","Regular",NA
"Paladinos","Benavente","VACL-133","Autocares Julio Fernández, S.L.","Regular",NA
"Benavente","Pumarejo De Tera","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Pumarejo De Tera","Santa Marta De Tera","VACL-137","Autocares Julio Fernández, S.L.","Regular","transbordo ruta Puebla - Benavente"
"Uña De Quintana","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Uña De Quintana","Benavente (Trasbordo Villageriz","VACL-137","Autocares Julio Fernández, S.L.","Regular","Fuente Encalada, Rosinos de
Vidriales)"
"Cabañas De Tera","Bercianos De Vidriales","VACL-137","Autocares Julio Fernández, S.L.","Regular","transbordo hasta Benavente"
"Camarzana De Tera","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Puebla De Sanabria","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular","por Entrepeñas"
"Puebla De Sanabria","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular","por Manzanal de los Infantes"
"Puebla De Sanabria","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular","por Donadillo"
"Puebla De Sanabria","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular","por Peque"
"Puebla De Sanabria","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular","por Cernadilla, Valparaíso"
"Quintanilla De Justel","Puebla De Sanabria","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Santibáñez De Tera","Riochico","VACL-137","Autocares Julio Fernández, S.L.","Regular","transbordo Puebla - Benavente"
"Villanueva De Las Peras","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Villardeciervos","Camarzana De Tera","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Villanueva De Azoague","Benavente","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"San Esteban De Gormaz","Langa De Duero","VACL-147","Autocares de las Heras, S.L.","Regular",NA
"Velilla De Los Ajos","Gómara","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"Gómara","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Cihuela","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Aldeacipreste","Béjar","AECL-069","Viagón Autocares, S.L.","Regular",NA
"Matilla De Los Caños Del Río","Salamanca","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Matallana Estación","León","VACL-109","Empresa Reyero, S.L.","Regular",NA
"Tremor De Abajo","Bembibre","VACL-092","Autocares Castilla y León, S.A.U.","Regular",NA
"La Sagrada","Salamanca","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Torreadrada","Segovia","VACL-125","Linecar, S.A.","Regular",NA
"Cantalejo","Cuéllar","VACL-125","Linecar, S.A.","Regular",NA
"Sepúlveda","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Guardo","Cervera","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Guardo","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Cervera","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Megeces","Íscar","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Megeces","Olmedo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Megeces","Medina Del Campo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Íscar","Olmedo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Íscar","Medina Del Campo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Olmedo","Medina Del Campo","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Viana De Cega","Laguna De Duero","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Viana De Cega","Valladolid","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Laguna De Duero","Valladolid","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Cigudosa","Ágreda","AECL-085","Serafín Saínz Ruíz","Regular",NA
"Pobar","Ágreda","AECL-085","Serafín Saínz Ruíz","Regular",NA
"Prádanos Del Tozo","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Puentetoma","Aguilar De Campoo","AECL-057","Autocares Donato, S.L.","Regular",NA
"Salinas De Pisuerga","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Talamillo Del Tozo","Aguilar De Campoo","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Covarrubias","Almazán","VACL-147","Autocares de las Heras, S.L.","Regular",NA
"Fuente Tovar","Almazán","VACL-147","Autocares de las Heras, S.L.","Regular",NA
"Canales","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Constanzana","Arévalo","VACL-066","Navatour, S.L.","Regular",NA
"Palacios De Goda","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"Sinlabajos","Arévalo","VACL-053","La Regional Vallisoletana, S.A.","Regular",NA
"El Barraco","San Juan De La Nava","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"La Rinconada","Ávila","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"La Rinconada","El Barraco","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Marlín","Ávila","AECL-002","Navatour, S.L.","Regular",NA
"Muñochas","Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Avellaneda","Barco De Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"La Zarza","Barco De Ávila","TR-001","Taxi Ángel Alonso, S.L.","Regular",NA
"Molinos","Barco De Ávila","VACL-162","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Riofraguas","Barco De Ávila","VACL-073","Viamar Autocares, S.L.U.","Regular",NA
"Barcones","Berlanga De Duero","VACL-147","Autocares de las Heras, S.L.","Regular",NA
"La Muela","Berlanga De Duero","VACL-147","Autocares de las Heras, S.L.","Regular",NA
"Barrio De Las Ollas","Boñar","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"Correcillas","Boñar","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"Felechas","Boñar","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Lugán","Boñar","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Primajas","Boñar","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Redilluera","Boñar","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"Redipuertas","Boñar","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"San Isidro","Boñar","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Sopeña De Curueño","Boñar","VACL-100","Torobus 2030, S.L.U.","Regular",NA
"Veneros","Boñar","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Calas De Burguillo","Burgohondo","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Hoyocasero","Burgohondo","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Navalacruz","Burgohondo","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Serranillos","Burgohondo","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Villanueva De Ávila","Burgohondo","VACL-037","Compañía Europea de Viajeros España, S.A. (Cevesa)","Regular",NA
"Cernégula","Burgos","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Pineda De La Sierra","Burgos","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Terradillos De Sedano","Burgos","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Peñarrubias","Carbonero","VACL-128","Autocares Garrido, S.L.","Regular",NA
"Los Valles De Fuentidueña","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Otones","Cantalejo","VACL-125","Linecar, S.A.","Regular",NA
"Otones","Turégano","VACL-125","Linecar, S.A.","Regular",NA
"Veganzones","Turégano","VACL-125","Linecar, S.A.","Regular",NA
"Manzanal","Carbajales","VACL-130","López Ratón, S.L.","Regular",NA
"Villanueva","Carbajales","VACL-130","López Ratón, S.L.","Regular",NA
"Carrión De Los Condes","Arenillas De Nuño Pérez","VACL-111","Estébanez Aja, S.A.","Regular",NA
"El Quexigal","Cebreros","TR-013","Ricardo Becerril Yagüe","Regular",NA
"Santa Leonor","Cebreros","TR-013","Ricardo Becerril Yagüe","Regular",NA
"Foldada","Cervera De Pisuerga","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Herreruela","Cervera De Pisuerga","AECL-106","Autobuses del Pisuerga, S.L.","Regular",NA
"Perazancas","Cervera De Pisuerga","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Piedrasluengas","Cervera De Pisuerga","AECL-106","Autobuses del Pisuerga, S.L.","Regular",NA
"Roscales","Cervera De Pisuerga","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Santa María De Redondo","Cervera De Pisuerga","AECL-106","Autobuses del Pisuerga, S.L.","Regular",NA
"Verbios","Cervera De Pisuerga","VACL-019","Autobuses del Pisuerga, S.L.","Regular",NA
"Vergaño","Cervera De Pisuerga","AECL-056","Autobuses del Pisuerga, S.L.","Regular",NA
"Vidrieros","Cervera De Pisuerga","AECL-106","Autobuses del Pisuerga, S.L.","Regular",NA
"Laiz De Las Arrimadas","Cistierna","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Las Casetas De Oceja","La Ercina","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Sotillos De Sabero","Cistierna","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Valporquero De Rueda","Cistierna","VACL-093","Eugenia Elisa Valdés González, S.A.","Regular",NA
"Campanero","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Carpio De Azaba","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Camporredondo","Cuéllar","VACL-126","Linecar, S.A.","Regular",NA
"Zarzuela Del Pinar","Cuéllar","VACL-126","Linecar, S.A.","Regular",NA
"Castrillo","Tejeriego","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Castrillo","Esguevillas De Esgueva","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Tejeriego","Esguevillas De Esgueva","VACL-102","Autocares Tejedor H., S.L.","Regular",NA
"Cubillos De Losa","Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Entrambosríos","Villarcayo","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Hornillalatorre","Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Las Machorras","Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Las Machorras","Villarcayo","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Quintana De Los Prados","Villarcayo","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"San Pelayo","Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Villaventín","Espinosa De Los Monteros","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Villaventín","Villarcayo","VACL-001","Autocares Castilla y León, S.A.U.","Regular",NA
"Aldea Del Obispo","Fuentes De Oñoro","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Aldea Del Obispo","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Fuentes De Oñoro","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"Gallegos De Argañán","Fuentes De Oñoro","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"La Bouza","Ciudad Rodrigo","VACL-029","Empresa de Automóviles El Pilar, S.A.","Regular",NA
"La Bouza","Fuentes De Oñoro","VACL-060","Ancebus, S.L.U.","Regular",NA
"Alparrache","Gómara","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"Cañamaque","Gómara","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"Cardejón","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Cihuela","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"La Alameda","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Momblona","Gómara","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"Peroniel Del Campo","Gómara","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Peroniel Del Campo","Soria","VACL-155","Sanz Tierno Autocares, S.L.","Regular",NA
"Zamajón","Gómara","VACL-154","Sanz Tierno Autocares, S.L.","Regular",NA
"Alba De Cardaños","Guardo","AECL-046","Linecar, S.A.","Regular",NA
"Santana","Guardo","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Villanueva","Guardo","VACL-111","Estébanez Aja, S.A.","Regular","Martes"
"Villanueva","Guardo","VACL-111","Estébanez Aja, S.A.","Regular","Viernes"
"Berrocal De Salvatierra","Guijuelo","VACL-022","Adojaju, S.L.","Regular",NA
"Villameriel","Herrera","VACL-111","Estébanez Aja, S.A.","Regular",NA
"Fuente El Olmo De Íscar","Íscar","VACL-120","Linecar, S.A.","Regular",NA
"Megeces","Íscar","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Villaverde De Íscar","Íscar","VACL-057","Empresa Cabrero, S.A.","Regular",NA
"Entrepeñas","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Gramedo","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Peque","Cruce","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Peque","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Val De Santa María","Villardeciervos","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Valparaíso","Enlace Ctra. A Valparaíso Y N","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Valparaíso","525","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Enlace Ctra. A Valparaíso Y N","525","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Vega","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Villanueva De Valrojo","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Villarejo","Mombuey","VACL-137","Autocares Julio Fernández, S.L.","Regular",NA
"Cuevas De Viñayo","La Magdalena","VACL-101","Ricardo Morales García","Regular",NA
"Piedrasecha","La Magdalena","VACL-101","Ricardo Morales García","Regular",NA
"Cabeza De Diego Gómez","Ledesma","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
"Espino De Los Doctores","Ledesma","VACL-061","Autocares J. Cristeto, S.L.","Regular",NA
